"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57","sender cannot remove entries from invitedWorkspaceIds","","2026-07-21","passed","2026-07-21","","users/{uid} — invitedWorkspaceIds cross-user append","users/{uid} — invitedWorkspaceIds cross-user append sender cannot remove entries from invitedWorkspaceIds",""
"","17","user can create their own document","","2026-07-21","passed","2026-07-21","","users/{uid}","users/{uid} user can create their own document",""
"","80","invited user CAN self-create referencing an already-ACCEPTED invite (push-order/idempotent)","","2026-07-21","passed","2026-07-21","","workspaces/{wid}/members/{uid}","workspaces/{wid}/members/{uid} invited user CAN self-create referencing an already-ACCEPTED invite (push-order/idempotent)",""
"","21","owner can hard-delete the workspace doc (account-deletion purge)","","2026-07-21","passed","2026-07-21","","workspaces/{wid}","workspaces/{wid} owner can hard-delete the workspace doc (account-deletion purge)",""
"","30","non-owner cannot edit another member's row","","2026-07-21","passed","2026-07-21","","workspaces/{wid}/members/{uid}","workspaces/{wid}/members/{uid} non-owner cannot edit another member's row",""
"","40","member can create + read in recurringRules","","2026-07-21","passed","2026-07-21","","member-gated entities (smoke for the rest)","member-gated entities (smoke for the rest) member can create + read in recurringRules",""
"","59","invited user CAN self-create via an email-only invite (legacy, no targetUserId)","","2026-07-21","passed","2026-07-21","","workspaces/{wid}/members/{uid}","workspaces/{wid}/members/{uid} invited user CAN self-create via an email-only invite (legacy, no targetUserId)",""
"","37","unauthenticated user cannot append to invitedWorkspaceIds","","2026-07-21","passed","2026-07-21","","users/{uid} — invitedWorkspaceIds cross-user append","users/{uid} — invitedWorkspaceIds cross-user append unauthenticated user cannot append to invitedWorkspaceIds",""
"","30","recipient can collection-group query by email","","2026-07-21","passed","2026-07-21","","invites — read","invites — read recipient can collection-group query by email",""
"","26","owner can tombstone an invite","","2026-07-21","passed","2026-07-21","","tombstone update shape (push-side soft delete)","tombstone update shape (push-side soft delete) owner can tombstone an invite",""
"","45","member can read the workspace invite roster","","2026-07-21","passed","2026-07-21","","invites — read","invites — read member can read the workspace invite roster",""
"","22","sender cannot touch any other field alongside invitedWorkspaceIds","","2026-07-21","passed","2026-07-21","","users/{uid} — invitedWorkspaceIds cross-user append","users/{uid} — invitedWorkspaceIds cross-user append sender cannot touch any other field alongside invitedWorkspaceIds",""
"","29","non-member is blocked from recurringRules","","2026-07-21","passed","2026-07-21","","member-gated entities (smoke for the rest)","member-gated entities (smoke for the rest) non-member is blocked from recurringRules",""
"","45","authenticated user can read app config","","2026-07-21","passed","2026-07-21","","appConfig/{docId}","appConfig/{docId} authenticated user can read app config",""
"","19","user cannot create a workspace owned by someone else","","2026-07-21","passed","2026-07-21","","workspaces/{wid}","workspaces/{wid} user cannot create a workspace owned by someone else",""
"","33","user cannot delete a mapping pointing at another uid","","2026-07-21","passed","2026-07-21","","userEmails/{email}","userEmails/{email} user cannot delete a mapping pointing at another uid",""
"","24","non-owner member cannot tombstone the workspace root doc","","2026-07-21","passed","2026-07-21","","tombstone update shape (push-side soft delete)","tombstone update shape (push-side soft delete) non-owner member cannot tombstone the workspace root doc",""
"","20","owner can tombstone the workspace root doc","","2026-07-21","passed","2026-07-21","","tombstone update shape (push-side soft delete)","tombstone update shape (push-side soft delete) owner can tombstone the workspace root doc",""
"","42","invitee can decline by email match (no targetUserId on doc)","","2026-07-21","passed","2026-07-21","","invites — update / delete","invites — update / delete invitee can decline by email match (no targetUserId on doc)",""
"","45","an evicted (REMOVED) member can no longer read","","2026-07-21","passed","2026-07-21","","member-gated entities (accounts)","member-gated entities (accounts) an evicted (REMOVED) member can no longer read",""
"","27","create blocked when clientVersionCode missing","","2026-07-21","passed","2026-07-21","","workspaces/{wid}","workspaces/{wid} create blocked when clientVersionCode missing",""
"","42","non-member cannot create","","2026-07-21","passed","2026-07-21","","member-gated entities (accounts)","member-gated entities (accounts) non-member cannot create",""
"","17","non-owner member cannot update workspace metadata","","2026-07-21","passed","2026-07-21","","workspaces/{wid}","workspaces/{wid} non-owner member cannot update workspace metadata",""
"","37","invitee can re-push the same terminal status (idempotent)","","2026-07-21","passed","2026-07-21","","invites — update / delete","invites — update / delete invitee can re-push the same terminal status (idempotent)",""
