"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62000","Transaction — Details, edit and delete","","1970-01-01","failed","1970-01-01","","Test Suite","",""
"","65000","Auth — Sign in rejects wrong credentials","","1970-01-01","failed","1970-01-01","","Test Suite","",""
"","22000","Workspace — Create and select test workspace","","1970-01-01","passed","1970-01-01","","Test Suite","",""
"","85000","Dashboard — empty-state CTA before first transaction","","1970-01-01","passed","1970-01-01","","Test Suite","",""
"","55000","Account — Create card account with extra details","","1970-01-01","failed","1970-01-01","","Test Suite","",""
"","73000","Account — Details and transaction filters","","1970-01-01","failed","1970-01-01","","Test Suite","",""
"","35000","Workspace — Invite member validation","","1970-01-01","passed","1970-01-01","","Test Suite","",""
"","52000","Offline — Golden path (first launch → currency → seed → transaction → settings)","","","passed","","","Test Suite","Offline — Golden path (first launch → currency → seed → transaction → settings)",""
"","44000","Appearance — Switch theme between Dark, Light and System","","1970-01-01","passed","1970-01-01","","Test Suite","",""
"","69000","Transaction — Add expense transaction","","1970-01-01","failed","1970-01-01","","Test Suite","",""
"","68000","Transaction — Delete then Undo restores it","","1970-01-01","failed","1970-01-01","","Test Suite","",""
"","68000","Dashboard — Add bank account","","1970-01-01","failed","1970-01-01","","Test Suite","",""
"","74000","Categories — Manage and create a category","","1970-01-01","failed","1970-01-01","","Test Suite","",""
"","40000","Settings — Sign out","","1970-01-01","passed","1970-01-01","","Test Suite","",""
"","73000","Transaction — Add income and filter list","","1970-01-01","failed","1970-01-01","","Test Suite","",""
"","81000","Goals — Create a goal and add money","","1970-01-01","failed","1970-01-01","","Test Suite","",""
"","62000","Settings — Open hub screens","","1970-01-01","passed","1970-01-01","","Test Suite","",""
"","42000","Account — Create savings account with opening balance","","1970-01-01","passed","1970-01-01","","Test Suite","",""
"","20000","Auth — Sign in with test user","","1970-01-01","passed","1970-01-01","","Test Suite","",""
