"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","user can update their own document","","2026-07-30","passed","2026-07-30","","users/{uid}","users/{uid} user can update their own document",""
"","18","index follows the content table on update, and search drops soft-deleted rows[jvm]","","2026-07-30","passed","2026-07-30","","TransactionFtsIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.repository.TransactionFtsIntegrationIT",""
"","45","enqueue then pending() returns the row in createdAt order[jvm]","","2026-07-30","passed","2026-07-30","","PendingMutationQueueIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.sync.PendingMutationQueueIntegrationIT",""
"","1490","adding money records a positive contribution[jvm]","","2026-07-30","passed","2026-07-30","","GoalContributionViewModelTest[jvm]","com.georgeci.moneysurfer.feature.goal.contribution.GoalContributionViewModelTest",""
"","21","user can read their own document","","2026-07-30","passed","2026-07-30","","users/{uid}","users/{uid} user can read their own document",""
"","40","multiple decimal separators are an invalid format[jvm]","","2026-07-30","passed","2026-07-30","","TransactionAmountInputTest[jvm]","com.georgeci.moneysurfer.feature.transaction.creation.TransactionAmountInputTest",""
"","471","the near-limit alert renders one percent sign per percentage, not two[jvm]","","2026-07-30","passed","2026-07-30","","PercentFormattingTest[jvm]","com.georgeci.moneysurfer.ui.PercentFormattingTest",""
"","0","PULL_MEMBERS sits between PULL_WORKSPACE and PULL_INVITES[jvm]","","2026-07-30","passed","2026-07-30","","SyncStepOrderTest[jvm]","com.georgeci.moneysurfer.domain.model.SyncStepOrderTest",""
"","5","sanitize drops letters and other stray characters[jvm]","","2026-07-30","passed","2026-07-30","","InitialBalanceInputTest[jvm]","com.georgeci.moneysurfer.feature.account.creation.InitialBalanceInputTest",""
"","1","an overspent budget reports zero per-day remaining instead of a negative allowance[jvm]","","2026-07-30","passed","2026-07-30","","BudgetProgressTest[jvm]","com.georgeci.moneysurfer.domain.model.BudgetProgressTest",""
"","17","a setting written while signed out is queued at the next sign-in[jvm]","","2026-07-30","passed","2026-07-30","","SyncedSettingsSessionImplJvmTest[jvm]","com.georgeci.moneysurfer.data.config.SyncedSettingsSessionImplJvmTest",""
"","22","an account-scoped screen hides the account picker[jvm]","","2026-07-30","passed","2026-07-30","","TransactionFiltersViewModelTest[jvm]","com.georgeci.moneysurfer.feature.transaction.filters.TransactionFiltersViewModelTest",""
"","27","leaving the cap empty creates no budget at all[jvm]","","2026-07-30","passed","2026-07-30","","CategoryCreationViewModelTest[jvm]","com.georgeci.moneysurfer.feature.category.creation.CategoryCreationViewModelTest",""
"","136","a slice with no category is named on the screen, not left blank[jvm]","","2026-07-30","passed","2026-07-30","","DashboardScreenStateTest[jvm]","com.georgeci.moneysurfer.ui.DashboardScreenStateTest",""
