"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","PullingCollection defaults current and total to null[jvm]","","2026-07-20","passed","2026-07-20","","SyncStepSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncStepSpec",""
"","1","SimpleCancelToken cancel flips state[jvm]","","2026-07-20","passed","2026-07-20","","SyncCancelTokenSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncCancelTokenSpec",""
"","18","awaitNetwork bounded timeout fails with NetworkUnavailable[jvm]","","2026-07-20","passed","2026-07-20","","SyncCoordinatorImplSpec[jvm]","com.georgeci.moneysurfer.sync.coordinator.SyncCoordinatorImplSpec",""
"","4","LastSyncOutcome.Cancelled carries timestamp[jvm]","","2026-07-20","passed","2026-07-20","","SyncStateSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncStateSpec",""
"","3","throwIfCancelled does nothing when active[jvm]","","2026-07-20","passed","2026-07-20","","SyncCancelTokenSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncCancelTokenSpec",""
"","185","first run pins a demo user, seeds Personal + Cash, and defers the currency choice[jvm]","","2026-07-21","passed","2026-07-21","","OfflineFirstRunSeederTest[jvm]","com.georgeci.moneysurfer.offline.firstrun.OfflineFirstRunSeederTest",""
"","6","creates workspace, default categories, and a Cash account on first run[jvm]","","2026-07-20","passed","2026-07-20","","SeedDefaultsUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.SeedDefaultsUseCaseTest",""
"","1","epochMillis=0[jvm]","","2026-07-20","passed","2026-07-20","","TimeFormatterTest[jvm]","com.georgeci.moneysurfer.data.repository.TimeFormatterTest",""
"","86","member can read","","2026-07-21","passed","2026-07-21","","member-gated entities (accounts)","member-gated entities (accounts) member can read",""
"","15","trims name and description before insert[jvm]","","2026-07-20","passed","2026-07-20","","CreateWorkspaceUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.CreateWorkspaceUseCaseTest",""
