"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","pull progress emits PullingCollection into running state[jvm]","","2026-07-20","passed","2026-07-20","","SyncCoordinatorImplBranchSpec[jvm]","com.georgeci.moneysurfer.sync.coordinator.SyncCoordinatorImplBranchSpec",""
"","3","online build registers OfflineBuildFlags with isOffline false()[jvm]","","2026-07-20","passed","2026-07-20","","OnlineSignInModuleTest[jvm]","com.georgeci.moneysurfer.di.OnlineSignInModuleTest",""
"","1","demoOnly is false when email-password is also enabled()[jvm]","","2026-07-20","passed","2026-07-20","","SignInFeatureConfigTest[jvm]","com.georgeci.moneysurfer.feature.login.SignInFeatureConfigTest",""
"","23","returns null when decode throws SerializationException (wrong field type)[jvm]","","2026-07-20","passed","2026-07-20","","DecodeOrNullSpec[jvm]","com.georgeci.moneysurfer.data.sync.plugin.DecodeOrNullSpec",""
"","6","dangerous notes survive a full CSV round-trip unchanged[jvm]","","2026-07-20","passed","2026-07-20","","TransactionCsvCodecTest[jvm]","com.georgeci.moneysurfer.domain.csv.TransactionCsvCodecTest",""
"","64","client cannot write app config (Console-only)","","2026-07-21","passed","2026-07-21","","appConfig/{docId}","appConfig/{docId} client cannot write app config (Console-only)",""
"","16","isEnabled returns true when firebaseUid is non-empty[jvm]","","2026-07-20","passed","2026-07-20","","OutboxEnqueuerSpec[jvm]","com.georgeci.moneysurfer.data.sync.OutboxEnqueuerSpec",""
"","7","markCompleted removes rows from pending()[jvm]","","2026-07-20","passed","2026-07-20","","PendingMutationQueueIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.sync.PendingMutationQueueIntegrationIT",""
"","11","writer + reader round-trip preserves entry names and bytes[jvm]","","2026-07-20","passed","2026-07-20","","ZipStoredCodecTest[jvm]","com.georgeci.moneysurfer.data.backup.ZipStoredCodecTest",""
"","146","offline build resolves OfflineBuildFlags with isOffline true()[jvm]","","2026-07-20","passed","2026-07-20","","OfflineBuildFlagsTest[jvm]","com.georgeci.moneysurfer.offline.di.OfflineBuildFlagsTest",""
"","38","non-member is blocked from recurringRules","","2026-07-21","passed","2026-07-21","","member-gated entities (smoke for the rest)","member-gated entities (smoke for the rest) non-member is blocked from recurringRules",""
"","1","'123' -> '123'[jvm]","","2026-07-21","passed","2026-07-21","","AmountInputTransformationTest[jvm]","com.georgeci.moneysurfer.utils.AmountInputTransformationTest",""
"","12","blank category id decodes to null instead of failing[jvm]","","2026-07-20","passed","2026-07-20","","TransactionCsvCodecTest[jvm]","com.georgeci.moneysurfer.domain.csv.TransactionCsvCodecTest",""
"","19","still pins workspace and succeeds when addWorkspaceRef throws[jvm]","","2026-07-20","passed","2026-07-20","","CreateWorkspaceUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.CreateWorkspaceUseCaseTest",""
"","4","abs of Long.MIN_VALUE throws instead of returning a negative magnitude[jvm]","","2026-07-20","passed","2026-07-20","","MoneyTest[jvm]","com.georgeci.moneysurfer.domain.primitives.MoneyTest",""
"","16","local pointer survives a remote failure[jvm]","","2026-07-20","passed","2026-07-20","","SelectWorkspaceUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.SelectWorkspaceUseCaseTest",""
"","1","equal timestamps → take local (stable, no-op re-pull)[jvm]","","2026-07-20","passed","2026-07-20","","LwwConflictResolverSpec[jvm]","com.georgeci.moneysurfer.sync.repository.LwwConflictResolverSpec",""
"","0","'abc' (letters)[jvm]","","2026-07-21","passed","2026-07-21","","AmountInputTransformationTest[jvm]","com.georgeci.moneysurfer.utils.AmountInputTransformationTest",""
"","9","thrown Throwable from upload becomes SyncError.Unknown[jvm]","","2026-07-20","passed","2026-07-20","","SyncCoordinatorImplBranchSpec[jvm]","com.georgeci.moneysurfer.sync.coordinator.SyncCoordinatorImplBranchSpec",""
"","16","DELETE mutation persists and is readable[jvm]","","2026-07-20","passed","2026-07-20","","PendingMutationQueueImplSpec[jvm]","com.georgeci.moneysurfer.data.sync.PendingMutationQueueImplSpec",""
"","906","OnTermsClick emits a NavigateToLegal side effect[jvm]","","2026-07-20","passed","2026-07-20","","SignInViewModelTest[jvm]","com.georgeci.moneysurfer.feature.login.SignInViewModelTest",""
"","1","addDownload accumulates downloadedCount[jvm]","","2026-07-20","passed","2026-07-20","","SyncSummaryBuilderSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncSummaryBuilderSpec",""
"","21","upsert applies status transition and respondedAt without losing snapshot fields[jvm]","","2026-07-20","passed","2026-07-20","","WorkspaceInviteRepositoryIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.repository.WorkspaceInviteRepositoryIntegrationIT",""
"","1020","a truncated blob fails the MAC[jvm]","","2026-07-20","passed","2026-07-20","","EncryptedBackupCodecTest[jvm]","com.georgeci.moneysurfer.data.backup.EncryptedBackupCodecTest",""
"","487","export writes a header plus one record per transaction and returns the count[jvm]","","2026-07-20","passed","2026-07-20","","ExportImportTransactionsUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.csv.ExportImportTransactionsUseCaseTest",""
"","1","abs of an ordinary negative amount is its magnitude[jvm]","","2026-07-20","passed","2026-07-20","","MoneyTest[jvm]","com.georgeci.moneysurfer.domain.primitives.MoneyTest",""
"","22","user can write their own email mapping","","2026-07-21","passed","2026-07-21","","userEmails/{email}","userEmails/{email} user can write their own email mapping",""
"","26","second sync resumes from the Room-persisted cursor and pulls only newer documents[jvm]","","2026-07-20","passed","2026-07-20","","NewWorkspacePullIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.sync.NewWorkspacePullIntegrationIT",""
"","19","ActiveWorkspace scope pulls the workspace pinned in the session[jvm]","","2026-07-20","passed","2026-07-20","","NewWorkspacePullIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.sync.NewWorkspacePullIntegrationIT",""
"","37","owner can remove entries from their own invitedWorkspaceIds","","2026-07-21","passed","2026-07-21","","users/{uid} — invitedWorkspaceIds cross-user append","users/{uid} — invitedWorkspaceIds cross-user append owner can remove entries from their own invitedWorkspaceIds",""
"","6","writes local pointer and pushes default when Firebase uid present[jvm]","","2026-07-20","passed","2026-07-20","","SelectWorkspaceUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.SelectWorkspaceUseCaseTest",""
"","1","balanceImpact uses abs(money) so legacy signed money still produces correct sign[jvm]","","2026-07-20","passed","2026-07-20","","BalanceImpactTest[jvm]","com.georgeci.moneysurfer.domain.model.BalanceImpactTest",""
"","50","updates the workspace baseCurrency column in Room[jvm]","","2026-07-20","passed","2026-07-20","","WorkspaceCurrencyIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.repository.WorkspaceCurrencyIntegrationIT",""
"","131","applyDelta updates balance without touching currency[jvm]","","2026-07-20","passed","2026-07-20","","AccountCreationIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.repository.AccountCreationIntegrationIT",""
"","29","rejects a poison update of an existing account (balance as string)","","2026-07-21","passed","2026-07-21","","entity write-shape validation (issue #156)","entity write-shape validation (issue #156) rejects a poison update of an existing account (balance as string)",""
"","31","owner create blocked when status != PENDING","","2026-07-21","passed","2026-07-21","","invites — write","invites — write owner create blocked when status != PENDING",""
"","1","epochMillis=1700000000000[jvm]","","2026-07-20","passed","2026-07-20","","TimeFormatterTest[jvm]","com.georgeci.moneysurfer.data.repository.TimeFormatterTest",""
"","54","strings.xml files are discovered[jvm]","","2026-07-21","passed","2026-07-21","","StringResourcePlaceholderTest[jvm]","com.georgeci.moneysurfer.utils.StringResourcePlaceholderTest",""
"","35","user can read their own document","","2026-07-21","passed","2026-07-21","","users/{uid}","users/{uid} user can read their own document",""
"","19","SQLite header with a corrupted structure fails the integrity check[jvm]","","2026-07-20","passed","2026-07-20","","BackupImporterImplJvmTest[jvm]","com.georgeci.moneysurfer.data.backup.BackupImporterImplJvmTest",""
"","12","markSuccess preserves cursor[jvm]","","2026-07-20","passed","2026-07-20","","SyncMetaRepositoryImplSpec[jvm]","com.georgeci.moneysurfer.data.sync.SyncMetaRepositoryImplSpec",""
"","7","Failed title carries error[jvm]","","2026-07-20","passed","2026-07-20","","SyncStepSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncStepSpec",""
"","16","writes local pointer and skips remote when no Firebase uid[jvm]","","2026-07-20","passed","2026-07-20","","SelectWorkspaceUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.SelectWorkspaceUseCaseTest",""
"","3","opening_balance behaves as a regular ACTUAL for cache[jvm]","","2026-07-20","passed","2026-07-20","","ApplyTransactionChangeUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.ApplyTransactionChangeUseCaseTest",""
"","21","member can get the workspace doc","","2026-07-21","passed","2026-07-21","","workspaces/{wid}","workspaces/{wid} member can get the workspace doc",""
"","12","wipes Room and clears flag when hasUsedDemo is true[jvm]","","2026-07-20","passed","2026-07-20","","WipeDemoDataUseCaseSpec[jvm]","com.georgeci.moneysurfer.domain.usecase.WipeDemoDataUseCaseSpec",""
"","3","throwIfCancelled does nothing when active[jvm]","","2026-07-20","passed","2026-07-20","","SyncCancelTokenSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncCancelTokenSpec",""
"","1319","encrypted round-trip restores data with the right passphrase[jvm]","","2026-07-20","passed","2026-07-20","","BackupEncryptedRoundTripJvmTest[jvm]","com.georgeci.moneysurfer.data.backup.BackupEncryptedRoundTripJvmTest",""
"","13","markInFlight excludes rows from pending() but markFailed brings them back[jvm]","","2026-07-20","passed","2026-07-20","","PendingMutationQueueIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.sync.PendingMutationQueueIntegrationIT",""
"","429","sealed blob does not contain the plaintext[jvm]","","2026-07-20","passed","2026-07-20","","EncryptedBackupCodecTest[jvm]","com.georgeci.moneysurfer.data.backup.EncryptedBackupCodecTest",""
"","4","matches by targetUserId when email differs[jvm]","","2026-07-20","passed","2026-07-20","","AcceptInviteUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.AcceptInviteUseCaseTest",""
"","23","stranger cannot self-create even by naming a non-existent inviteId","","2026-07-21","passed","2026-07-21","","workspaces/{wid}/members/{uid}","workspaces/{wid}/members/{uid} stranger cannot self-create even by naming a non-existent inviteId",""
"","18","member insert failure returns LocalWriteFailed and skips categories, remote work and pin[jvm]","","2026-07-20","passed","2026-07-20","","CreateWorkspaceUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.CreateWorkspaceUseCaseTest",""
"","8","unparseable operation instant is rejected as invalid operation_at[jvm]","","2026-07-20","passed","2026-07-20","","TransactionCsvCodecTest[jvm]","com.georgeci.moneysurfer.domain.csv.TransactionCsvCodecTest",""
"","2","existing user with null defaultWorkspaceId falls back to the first workspace[jvm]","","2026-07-20","passed","2026-07-20","","PostAuthBootstrapUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.PostAuthBootstrapUseCaseTest",""
"","24","tombstone with clientVersionCode below floor is denied","","2026-07-21","passed","2026-07-21","","tombstone update shape (push-side soft delete)","tombstone update shape (push-side soft delete) tombstone with clientVersionCode below floor is denied",""
"","3","UploadingPendingChanges title[jvm]","","2026-07-20","passed","2026-07-20","","SyncStepSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncStepSpec",""
"","19","UnsupportedAppVersion preserves message and is not retryable[jvm]","","2026-07-20","passed","2026-07-20","","SyncErrorSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncErrorSpec",""
"","10","rethrows CancellationException instead of swallowing it[jvm]","","2026-07-20","passed","2026-07-20","","DecodeOrNullSpec[jvm]","com.georgeci.moneysurfer.data.sync.plugin.DecodeOrNullSpec",""
"","1","epochMillis=0[jvm]","","2026-07-20","passed","2026-07-20","","TimeFormatterTest[jvm]","com.georgeci.moneysurfer.data.repository.TimeFormatterTest",""
"","60","first sync hydrates the new workspace root before its subcollections[jvm]","","2026-07-20","passed","2026-07-20","","NewWorkspacePullIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.sync.NewWorkspacePullIntegrationIT",""
"","1","offline build resolves SyncFeatureFlag disabled()[jvm]","","2026-07-20","passed","2026-07-20","","OfflineSignInFeatureConfigTest[jvm]","com.georgeci.moneysurfer.offline.di.OfflineSignInFeatureConfigTest",""
"","16","insert with unknown workspaceId is allowed (no FK on workspace_invites.workspaceId)[jvm]","","2026-07-20","passed","2026-07-20","","WorkspaceInviteRepositoryIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.repository.WorkspaceInviteRepositoryIntegrationIT",""
"","3","ProjectionScope.All is a singleton[jvm]","","2026-07-20","passed","2026-07-20","","ProjectionSpec[jvm]","com.georgeci.moneysurfer.sync.projection.ProjectionSpec",""
"","0","onSyncCancelled is callable[jvm]","","2026-07-20","passed","2026-07-20","","SyncTelemetryNoOpSpec[jvm]","com.georgeci.moneysurfer.sync.telemetry.SyncTelemetryNoOpSpec",""
"","0","DEFAULT_BATCH_LIMIT is 100[jvm]","","2026-07-20","passed","2026-07-20","","PendingMutationQueueSpec[jvm]","com.georgeci.moneysurfer.sync.repository.PendingMutationQueueSpec",""
"","20","update bumps updatedAt and enqueues UPDATE[jvm]","","2026-07-20","passed","2026-07-20","","WorkspaceMemberRepositoryDualWriteSpec[jvm]","com.georgeci.moneysurfer.data.repository.WorkspaceMemberRepositoryDualWriteSpec",""
"","3","observe emits empty list for a fresh workspace[jvm]","","2026-07-20","passed","2026-07-20","","SyncMetaRepositoryImplSpec[jvm]","com.georgeci.moneysurfer.sync.internal.repository.SyncMetaRepositoryImplSpec",""
"","2","no-op edit (same impact) yields empty delta[jvm]","","2026-07-20","passed","2026-07-20","","CalculateBalanceDeltaTest[jvm]","com.georgeci.moneysurfer.domain.model.CalculateBalanceDeltaTest",""
"","64","member can create","","2026-07-21","passed","2026-07-21","","member-gated entities (accounts)","member-gated entities (accounts) member can create",""
"","11","rows referencing unknown workspace account or category are reported per row[jvm]","","2026-07-20","passed","2026-07-20","","ExportImportTransactionsUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.csv.ExportImportTransactionsUseCaseTest",""
"","1017","wrong passphrase is rejected before decryption[jvm]","","2026-07-20","passed","2026-07-20","","EncryptedBackupCodecTest[jvm]","com.georgeci.moneysurfer.data.backup.EncryptedBackupCodecTest",""
"","7","SerializationException maps to Unknown[jvm]","","2026-07-20","passed","2026-07-20","","SyncErrorClassifierSpec[jvm]","com.georgeci.moneysurfer.data.sync.SyncErrorClassifierSpec",""
"","4","pending returns rows sorted by createdAt ascending[jvm]","","2026-07-20","passed","2026-07-20","","PendingMutationQueueImplSpec[jvm]","com.georgeci.moneysurfer.sync.internal.repository.PendingMutationQueueImplSpec",""
"","4","Enqueue merges into existing pending request[jvm]","","2026-07-20","passed","2026-07-20","","SyncCoordinatorImplBranchSpec[jvm]","com.georgeci.moneysurfer.sync.coordinator.SyncCoordinatorImplBranchSpec",""
"","13","rejects when invite is expired[jvm]","","2026-07-20","passed","2026-07-20","","AcceptInviteUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.AcceptInviteUseCaseTest",""
