"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","happy path: marks target REMOVED[jvm]","","2026-07-21","passed","2026-07-21","","RemoveMemberUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.RemoveMemberUseCaseTest",""
"","2","offline build resolves SignInFeatureConfig with only demo enabled()[jvm]","","2026-07-21","passed","2026-07-21","","OfflineSignInFeatureConfigTest[jvm]","com.georgeci.moneysurfer.offline.di.OfflineSignInFeatureConfigTest",""
"","2","ConflictResolution.Skip is a singleton[jvm]","","2026-07-21","passed","2026-07-21","","ConflictResolverSpec[jvm]","com.georgeci.moneysurfer.sync.repository.ConflictResolverSpec",""
"","2","mergeScope UploadOnly with UploadOnly stays UploadOnly[jvm]","","2026-07-21","passed","2026-07-21","","SyncScopeSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncScopeSpec",""
"","1","DEFAULT_BATCH_LIMIT is 100[jvm]","","2026-07-21","passed","2026-07-21","","PendingMutationQueueSpec[jvm]","com.georgeci.moneysurfer.sync.repository.PendingMutationQueueSpec",""
"","9","calling twice on a single demo session wipes once and stays cleared[jvm]","","2026-07-21","passed","2026-07-21","","WipeDemoDataUseCaseSpec[jvm]","com.georgeci.moneysurfer.domain.usecase.WipeDemoDataUseCaseSpec",""
"","2","AuthRequired is not retryable[jvm]","","2026-07-21","passed","2026-07-21","","SyncErrorSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncErrorSpec",""
"","22","recipient without email claim can still query by targetUserId","","2026-07-21","passed","2026-07-21","","invites — read","invites — read recipient without email claim can still query by targetUserId",""
"","27","user cannot update another user's document","","2026-07-21","passed","2026-07-21","","users/{uid}","users/{uid} user cannot update another user's document",""
"","5","retrying the same mutation produces an identical patch[jvm]","","2026-07-21","passed","2026-07-21","","TombstonePatchSpec[jvm]","com.georgeci.moneysurfer.data.sync.plugin.TombstonePatchSpec",""
"","84","failed push keeps the mutation pending with bumped attempts and a retry drains it[jvm]","","2026-07-21","passed","2026-07-21","","WorkspaceCreationSyncIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.sync.WorkspaceCreationSyncIntegrationIT",""
"","6","abs of Long.MIN_VALUE throws instead of returning a negative magnitude[jvm]","","2026-07-21","passed","2026-07-21","","MoneyTest[jvm]","com.georgeci.moneysurfer.domain.primitives.MoneyTest",""
"","4","fromMajor that overflows Long throws instead of wrapping[jvm]","","2026-07-21","passed","2026-07-21","","MoneyTest[jvm]","com.georgeci.moneysurfer.domain.primitives.MoneyTest",""
"","43","failed apply leaves the cursor untouched so the batch is retried on the next sync[jvm]","","2026-07-21","passed","2026-07-21","","NewWorkspacePullIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.sync.NewWorkspacePullIntegrationIT",""
"","335","round-trip: an exported file imports every transaction into an empty database[jvm]","","2026-07-21","passed","2026-07-21","","ExportImportTransactionsUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.csv.ExportImportTransactionsUseCaseTest",""
"","16","category seed failure returns LocalWriteFailed and skips remote work and pin[jvm]","","2026-07-21","passed","2026-07-21","","CreateWorkspaceUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.CreateWorkspaceUseCaseTest",""
"","24","every field survives an encode/decode round-trip[jvm]","","2026-07-21","passed","2026-07-21","","TransactionCsvCodecTest[jvm]","com.georgeci.moneysurfer.domain.csv.TransactionCsvCodecTest",""
"","12","cursor returns null for unknown (workspace, collection)[jvm]","","2026-07-21","passed","2026-07-21","","SyncMetaRepositoryImplSpec[jvm]","com.georgeci.moneysurfer.data.sync.SyncMetaRepositoryImplSpec",""
"","3","rejects when caller is not OWNER[jvm]","","2026-07-21","passed","2026-07-21","","SendInviteUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.SendInviteUseCaseTest",""
"","22","non-member cannot get the workspace doc","","2026-07-21","passed","2026-07-21","","workspaces/{wid}","workspaces/{wid} non-member cannot get the workspace doc",""
"","2","matches java.util.zip.CRC32 across diverse byte sequences[jvm]","","2026-07-21","passed","2026-07-21","","Crc32JvmTest[jvm]","com.georgeci.moneysurfer.data.backup.Crc32JvmTest",""
"","2","Generic exception maps to Unknown[jvm]","","2026-07-21","passed","2026-07-21","","SyncErrorClassifierSpec[jvm]","com.georgeci.moneysurfer.data.sync.SyncErrorClassifierSpec",""
"","36","accepts a correctly-typed transaction","","2026-07-21","passed","2026-07-21","","entity write-shape validation (issue #156)","entity write-shape validation (issue #156) accepts a correctly-typed transaction",""
"","110","an oversized source is rejected without being fully read into memory[jvm]","","2026-07-21","passed","2026-07-21","","ExportImportTransactionsUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.csv.ExportImportTransactionsUseCaseTest",""
"","22","no remote calls when no Firebase uid (demo session)[jvm]","","2026-07-21","passed","2026-07-21","","CreateWorkspaceUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.CreateWorkspaceUseCaseTest",""
"","20","user without an email claim (e.g. anonymous) cannot write","","2026-07-21","passed","2026-07-21","","userEmails/{email}","userEmails/{email} user without an email claim (e.g. anonymous) cannot write",""
"","2","deterministic — same input gives same output[jvm]","","2026-07-21","passed","2026-07-21","","LwwConflictResolverSpec[jvm]","com.georgeci.moneysurfer.sync.repository.LwwConflictResolverSpec",""
