"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","mergeScope ActiveWorkspace above ChangedSinceLastSync and UploadOnly[jvm]","","2026-07-31","passed","2026-07-31","","SyncScopeSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncScopeSpec",""
"","1","the series is always seven days ending today, with the quiet ones filled in[jvm]","","2026-07-31","passed","2026-07-31","","BurnRateTest[jvm]","com.georgeci.moneysurfer.domain.model.BurnRateTest",""
"","2","enqueueUpsert generates a unique id per call[jvm]","","2026-07-31","passed","2026-07-31","","OutboxEnqueuerImplSpec[jvm]","com.georgeci.moneysurfer.sync.repository.OutboxEnqueuerImplSpec",""
"","12","mixed comma and dot separators are an invalid format[jvm]","","2026-07-31","passed","2026-07-31","","TransactionAmountInputTest[jvm]","com.georgeci.moneysurfer.feature.transaction.creation.TransactionAmountInputTest",""
"","3","ConflictResolution.Skip is a singleton[jvm]","","2026-07-31","passed","2026-07-31","","ConflictResolverSpec[jvm]","com.georgeci.moneysurfer.sync.repository.ConflictResolverSpec",""
"","0","explicit overrides are exposed[jvm]","","2026-07-31","passed","2026-07-31","","SyncConstraintsSpec[jvm]","com.georgeci.moneysurfer.sync.scheduler.SyncConstraintsSpec",""
"","22","a workspace with no account has nothing to save against[jvm]","","2026-07-31","passed","2026-07-31","","TransactionCreationSaveGuardsTest[jvm]","com.georgeci.moneysurfer.feature.transaction.creation.TransactionCreationSaveGuardsTest",""
"","38","owner can cancel a PENDING invite","","2026-07-31","passed","2026-07-31","","invites — update / delete","invites — update / delete owner can cancel a PENDING invite",""
"","1","an empty editor is not a split at all[jvm]","","2026-07-31","passed","2026-07-31","","TransactionCreationStateTest[jvm]","com.georgeci.moneysurfer.feature.transaction.creation.TransactionCreationStateTest",""
"","336","each account type maps to its semantic icon[jvm]","","2026-07-31","passed","2026-07-31","","AccountTypeLabelTest[jvm]","com.georgeci.moneysurfer.feature.account.AccountTypeLabelTest",""
"","12","more tags than MAX_TAGS are capped at the storage boundary[jvm]","","2026-07-31","passed","2026-07-31","","TransactionDetailFieldsIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.repository.TransactionDetailFieldsIntegrationIT",""
"","40","a 600 dp small tablet window at 2x density reports Medium[jvm]","","2026-07-31","passed","2026-07-31","","SurferWindowSizeCompositionTest[jvm]","com.georgeci.moneysurfer.ui.SurferWindowSizeCompositionTest",""
"","58","a debug build drops the tables and carries on[jvm]","","2026-07-31","passed","2026-07-31","","DatabaseBuilderSpec[jvm]","com.georgeci.moneysurfer.data.db.DatabaseBuilderSpec",""
"","26","a pulled goal this device has never seen is inserted[jvm]","","2026-07-31","passed","2026-07-31","","GoalSyncPluginIT[jvm]","com.georgeci.moneysurfer.integration.plugin.GoalSyncPluginIT",""
"","11","duplicate and blank tags are dropped before they reach the column[jvm]","","2026-07-31","passed","2026-07-31","","TransactionDetailFieldsIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.repository.TransactionDetailFieldsIntegrationIT",""
"","54","the month's spend is formatted in the workspace base currency[jvm]","","2026-07-31","passed","2026-07-31","","DashboardSpentMonthViewModelTest[jvm]","com.georgeci.moneysurfer.feature.dashboard.DashboardSpentMonthViewModelTest",""
